ProductID,ProductCode,ProductName,ProductDescription,StandardUnitCost,UnitPrice,ReorderLevel,TargetLevel,QuantityPerUnit,Discontinued,MinimumReorderQuantity,ProductCategoryID,AddedBy,AddedOn,ModifiedBy,ModifiedOn
16,NWTSAU- 8,Curry Sauce,"<div>Thai style red curry sauce is a zesty blend of red chili puree, coconut milk, onions, garlic and ginger</div>",30.0000,40.0000,60,40,12 - 12 oz jars,False,10,15,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
17,NWTDRI- 51,Dried Apples,<div>Apple chips for lunchboxes and snacks are high in fiber and nutrients</div>,39.7500,53.0000,60,40,50 - 300 g pkgs.,False,10,10,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
18,NWTDRI- 7,Dried Pears,<div>A sweet treat for hikers and snackers</div>,22.5000,30.0000,60,40,12 - 1 lb pkgs.,False,10,10,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
19,NWTDRI- 80,Dried Plums,"<div>Dense, sweet <font face=""Curlz MT"" size=3 color=""#6F3198""><strong>dried plums</strong></font>: the perfect snack for people on the go</div>",3.0000,3.5000,100,75,1 lb bag,False,25,10,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
20,NWTCFV- 17,Fruit Cocktail,"<div>Diced peaches, pears, pineapple and sweet <font face=""Bauhaus 93""
color=""#CC0066""><strong>cherries</strong></font><font face=""Bauhaus 93""> </font>in heavy syrup</div>",29.2500,39.0000,60,40,15.25 OZ,False,10,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
21,NWTPAS- 56,Gnocchi,"<div>Traditional Italian potato dumplings, fully-cooked; ready to heat and eat</div>",28.5000,38.0000,160,120,24 - 250 g pkgs.,False,30,14,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
22,NWTCER- 82,Granola,"<div>A super <font face=""Snap ITC"" size=3 color=""#2F5496"">crunchy </font>treat: Oats loaded with almonds, walnuts, hazelnuts, raisins, coconut and dried cranberry</div>",2.0000,4.0000,130,100,,False,50,6,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
23,NWTCFV- 92,Green Beans,"<div>Whole fresh <font color=""#538135""><strong>green </strong></font>beans picked in their prime</div>",1.0000,1.2000,60,40,14.5 OZ,False,,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
24,NWTBEV- 81,Green Tea,"<div>Authentic <font color=""#538135""><strong>green tea</strong></font> leaves, dried quickly after harvest to preserve their vibrant color and naturally occurring antioxidants</div>",2.0000,2.9900,170,125,20 bags per box,False,25,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
25,NWTSAU- 65,Hot Pepper Sauce,"<div><font face=Chiller size=4 color=""#ED1C24""><strong>Hot stuff!</strong></font><font
size=4> </font>Adds tastebud-searing warmth to any dish</div>",15.7875,21.0500,60,40,32 - 8 oz bottles,False,10,15,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
26,NWTGRA- 52,Long Grain Rice,<div>Premium white Basmati</div>,5.2500,7.0000,130,100,16 - 2 kg boxes,False,25,11,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
27,NWTDAI- 72,Mozzarella,"<div>Fresh, mild and cheesy; a staple of Italian cuisine</div>",26.1000,34.8000,60,40,24 - 200 g pkgs.,False,10,9,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
28,NWTCON- 77,Mustard,<div>Stone-ground dijon-style prepared mustard</div>,9.7500,13.0000,90,60,12 boxes,False,15,8,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
29,NWTOIL- 5,Olive Oil,<div>Extra virgin for smooth taste and versatility</div>,16.0125,21.3500,60,40,36 boxes,False,10,13,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
30,NWTCFV- 89,Peaches,"<div>Delicious, juicy freestone peaches suitable for canning, baking and snacking</div>",1.0000,1.5000,60,40,15.25 OZ,False,,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
31,NWTCFV- 88,Pears,"<div>Organic <font face=""Berlin Sans FB"" color=""#BA1419"">red D'Anjou pears</font>, ripened to pear-fection</div>",1.0000,1.3000,60,40,15.25 OZ,False,,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
32,NWTCFV- 94,Peas,"<div>Baby <font face=""Showcard Gothic"" color=""#538135""><strong>green peas</strong> </font>in the pod, ready for shucking</div>",1.0000,1.5000,60,40,14.5 OZ,False,,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
33,NWTCFV- 90,Pineapple,"<div>Fresh from Hawaii: ripe, succulent whole fruits</div>",1.0000,1.8000,60,40,15.25 OZ,False,,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
34,NWTSNK- 83,Potato Chips,<div>Kettle-cooked crispy snackers</div>,0.5000,1.8000,70,50,,False,75,7,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
35,NWTPAS- 57,Ravioli,<div>Tender pasta envelopes filled with ricotta cheese and spinach</div>,14.6250,19.5000,110,80,24 - 250 g pkgs.,False,20,14,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
36,NWTBAK- 21,Scones,<div>The perfect accompaniment to coffee or proper tea</div>,7.5000,10.0000,30,20,24 pkgs. x 4 pieces,False,5,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
37,NWTCM- 96,Smoked Salmon,<div>From the Pacific Northwest's pristine icy cold waters and hardwood-smoked </div>,2.0000,4.0000,70,50,5 oz,False,,5,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
38,NWTCON- 3,Syrup,<div>Pure cane syrup</div>,7.5000,10.0000,130,100,12 - 550 ml bottles,False,25,8,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
39,NWTBEV- 87,Tea,"<div>Robust<font color=""#0C0C0C""><strong> </strong></font><font
face=""Kristen ITC"" color=""#0C0C0C""><strong>black tea leaves</strong></font> have rich flavor, dark color, and a smooth finish</div>",2.0000,4.0000,70,50,100 count per box,False,,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
40,NWTSAU- 66,Tomato Sauce,"<div>Delicately seasoned with salt, pepper and herbs</div>",12.7500,17.0000,110,80,24 - 8 oz jars,False,20,15,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
41,NWTCM- 95,Tuna Fish,<div>Wild-caught solid-white albacore tuna packed in water</div>,0.5000,2.0000,70,50,5 oz,False,,5,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
42,NWTSOU- 98,Vegetable Soup,<div>Farm-fresh diced vegetable medley in a rich vegetable broth</div>,1.0000,1.8900,260,200,1,False,,16,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
43,NWTDRI- 14,Walnuts,"<div>Shelled, energy-dense and loaded with polyunsaturated &quot;good&quot; fats. Perfect baking and snacking</div>",17.4375,23.2500,60,40,40 - 100 g pkgs.,False,10,10,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
